Date/Time,Raw Count,Amount (in),Accumulated (in),id
384
 12-22-2016 12:15 AM, 32,  0.04,  1.26,384
 12-21-2016 11:56 PM, 31,  0.04,  1.22,384
 12-21-2016 11:23 PM, 30,  0.00,  1.18,384
 12-21-2016 11:03 PM, 30,  0.04,  1.18,384
 12-21-2016 10:28 PM, 29,  0.04,  1.14,384
 12-21-2016 10:12 PM, 28,  0.04,  1.10,384
 12-21-2016 10:01 PM, 27,  0.04,  1.06,384
 12-21-2016 09:46 PM, 26,  0.04,  1.02,384
 12-21-2016 04:40 PM, 25,  0.04,  0.98,384
 12-21-2016 11:23 AM, 24,  0.00,  0.94,384
 12-20-2016 11:23 PM, 24,  0.00,  0.94,384
 12-20-2016 11:23 AM, 24,  0.00,  0.94,384
 12-19-2016 11:23 PM, 24,  0.00,  0.94,384
 12-19-2016 11:23 AM, 24,  0.00,  0.94,384
 12-18-2016 11:23 PM, 24,  0.00,  0.94,384
 12-18-2016 11:23 AM, 24,  0.00,  0.94,384
 12-17-2016 11:23 PM, 24,  0.00,  0.94,384
 12-17-2016 11:23 AM, 24,  0.00,  0.94,384
 12-16-2016 11:23 PM, 24,  0.00,  0.94,384
 12-16-2016 11:23 AM, 24,  0.00,  0.94,384
 12-16-2016 09:34 AM, 24,  0.04,  0.94,384
 12-16-2016 08:27 AM, 23,  0.04,  0.91,384
 12-16-2016 07:44 AM, 22,  0.04,  0.87,384
 12-16-2016 07:11 AM, 21,  0.04,  0.83,384
 12-16-2016 06:41 AM, 20,  0.04,  0.79,384
 12-16-2016 04:17 AM, 19,  0.04,  0.75,384
 12-16-2016 02:34 AM, 18,  0.04,  0.71,384
 12-16-2016 01:42 AM, 17,  0.04,  0.67,384
 12-15-2016 11:38 PM, 16,  0.04,  0.63,384
 12-15-2016 11:23 PM, 15,  0.00,  0.59,384
 12-15-2016 11:23 AM, 15,  0.00,  0.59,384
 12-14-2016 11:23 PM, 15,  0.00,  0.59,384
 12-14-2016 11:23 AM, 15,  0.00,  0.59,384
 12-13-2016 11:28 PM, 15,  0.00,  0.59,384
 12-13-2016 11:23 PM, 15,  0.00,  0.59,384
 12-13-2016 11:23 AM, 15,  0.00,  0.59,384
 12-12-2016 11:28 PM, 15,  0.00,  0.59,384
 12-12-2016 11:23 PM, 15,  0.00,  0.59,384
